order_item_id,order_id,category,product_name,brand,created_at,status,shipped_at,delivered_at,returned_at,sale_price,cost,user_id,gender,state,country
144,100,Leggings,Summer Semi Sheer Rose Print Legging Stretch White with Gray,SK Hat shop,2024-01-05 06:25:00.000000 UTC,Cancelled,,,,7.9499998092651358,4.4440498962223529,76,F,Georgia,United States
143,100,Fashion Hoodies & Sweatshirts,Allegra K Zipped Kangaroo Pocket Ribbed Round Neck Sweatshirt Gray for Lady S,Allegra K,2024-01-05 06:25:00.000000 UTC,Cancelled,,,,13.989999771118164,5.9037799069558083,76,F,Georgia,United States
145,100,Shorts,American Apparel Unisex Striped Chambray Kool Short,American Apparel,2024-01-05 06:25:00.000000 UTC,Cancelled,,,,44.0,21.647999983280897,76,F,Georgia,United States
146,100,Socks & Hosiery,Chyor Tights For Spring Fall,Chyor,2024-01-05 06:25:00.000000 UTC,Cancelled,,,,49.0,19.305999924428761,76,F,Georgia,United States
165,113,Dresses,Volcom Juniors Whirlpool Dress,Volcom,2024-01-10 17:32:00.000000 UTC,Cancelled,,,,45.0,21.959999911487103,85,F,Ohio,United States
355,241,Sweaters,Jones New York Women's Petite V-Neck Cardigan,Jones New York,2024-01-16 18:10:00.000000 UTC,Cancelled,,,,89.0,42.542000010609627,194,F,Hawaii,United States
578,396,Shorts,American Apparel Unisex Chambray Welt Pocket Short,American Apparel,2024-01-25 05:35:00.000000 UTC,Cancelled,,,,50.0,26.899999938905239,321,F,Guangdong,China
588,403,Sweaters,Mixed Knit Collar Sweater,John Fashion,2024-01-21 14:51:00.000000 UTC,Cancelled,,,,39.950000762939446,18.25715032753013,326,F,Shandong,China
821,564,Dresses,Hurley Juniors Featherweight Mesh Strappy Dress,Hurley,2024-01-13 04:19:00.000000 UTC,Cancelled,,,,35.0,15.084999995306134,451,F,Busan,South Korea
820,564,Swim,2 PC. Ladies Ziggy Black Tankini Swimwear Set,Marina West,2024-01-13 04:19:00.000000 UTC,Cancelled,,,,36.799999237060554,14.535999750733374,451,F,Busan,South Korea
